ID,STATE,PROPERTYNAME,CITY,INCOME_REPORTED_PCT,UNITS_INC_ILMT_IRES_RPTD_PCT,UNITS_I_IL_IR_0_PCT,UNITS_I_IL_IR_0_30_PCT,UNITS_I_IL_IR_30_40_PCT,UNITS_I_IL_IR_40_50_PCT,UNITS_I_IL_IR_50_60_PCT,UNITS_I_IL_IR_GT60_PCT
26098,NC,CHESTNUT PLACE APTS,LUMBERTON,100,100,0,-4,24.4,-4,26.7,-4
31734,NC,CHURCHVIEW FARM,GREENSBORO,95.6,47.1,0,50,-4,-4,-4,-4
12663,NC,CLAREMONT COURTS,GREENSBORO,77.6,77.6,0,68,18,8.2,-4,-4
13089,NC,CLAYTON MANOR APTS,CLAYTON,94.5,94.5,0,76.9,-4,-4,-4,-4
17446,NC,CLEVELAND GREEN APARTMENTS,GARNER,85.2,62.5,0,49.1,25.5,-4,-4,-4
36725,NC,CLEVELAND GREEN III,GARNER,95,95,0,39.5,27.6,-4,14.5,-4
2379,NC,CLEVELAND GREEN PHASE II APARTMENTS,GARNER,97.5,77.5,0,-4,-4,-4,-4,-4
1701,NC,CLEVELAND RIDGE,KINGS MOUNTAIN,100,100,0,-4,27.1,-4,-4,-4
9733,NC,CLEVELAND SCHOOL APARTMENTS,CLAYTON,88,64,0,-4,-4,-4,-4,0
7852,NC,CLIFTON PARK,WASHINGTON,100,100,0,-4,-4,25,-4,31.3
37796,NC,CLUB POND GREEN APARTMENTS,RAEFORD,97.9,97.9,0,38.3,-4,23.4,-4,-4
1706,NC,CLUB POND GREEN II,RAEFORD,100,100,0,-4,-4,-4,-4,-4
18641,NC,COASTAL VILLAS,SOUTHPORT,90.9,90.9,0,-4,-4,-4,27.5,-4
9852,NC,COBBLERS STATION APTS,CLAYTON,87.5,86.1,0,24.2,27.4,-4,24.2,-4
15523,NC,COBBLESTONE APTS,FUQUAYVARINA,100,100,0,60.6,-4,-4,0,-4
21324,NC,COLDWATER RIDGE APARTMENTS,KANNAPOLIS,96.7,96.7,0,32.8,24.1,-4,22.4,-4
26582,NC,COLEY-JENKINS INDEPENDENT LIVING CENTER,GREENSBORO,100,100,0,35.5,38.7,-4,-4,0
26585,NC,COLONIAL LODGE,WARRENTON,100,100,0,65.6,-4,-4,0,0
25988,NC,COLONIAL RIDGE,MOORESVILLE,97.4,71.8,0,21.4,-4,26.8,-4,30.4
37797,NC,COLONIAL VILLAGE APARTMENTS,SALISBURY,96.9,94.9,0,55.9,11.8,-4,-4,14
12610,NC,COLONY PLACE,FAYETTEVILLE,93.9,92.9,0,51.1,21.7,15.2,-4,-4
14276,NC,COMPTON PLACE,ASHEVILLE,97.5,97.5,0,30.8,-4,28.2,-4,-4
37406,NC,CONCORD CHASE,CONCORD,97.6,97.6,0,14,18.2,32.2,14,21.5
37520,NC,CONCORD POINTE,CONCORD,89.4,89.4,0,34.4,17.2,25.8,-4,-4
14380,NC,CONRAD CORNERS,KING,95,76.7,0,-4,-4,26.1,37,-4
9855,NC,COOPER CREEK HEIGHTS,MOCKSVILLE,94.6,71.4,0,-4,-4,27.5,-4,-4
30947,NC,COOPER TERRACE,ELKIN,98.2,98.2,0,-4,27.3,29.1,-4,-4
17341,NC,COOPER'S POINTE,BURGAW,34.4,34.4,0,-4,-4,-4,-4,-4
