ID,STATE,PROPERTYNAME,CITY,HHSIZEATCERT_NOTREPORTED_PCT,HHSIZEATCERT_LT_PCT,HHSIZEATCERT_EQUAL_PCT,HHSIZEATCERT_GT_PCT
33716,AL,BENNETT POINTE,THEODORE,0,-4,52.5,-4
40540,AL,BERKSHIRE APARTMENTS,MOBILE,0,-4,87.1,-4
38669,AL,BESSEMER PLACE APARTMENTS F/K/A FLINT HILL POINTE,BESSEMER,0,-4,92.6,-4
11052,AL,BEVERLYE CROSSING APARTMENTS II,DOTHAN,0,-4,-4,0
24721,AL,BEVERLYE CROSSINGS,DOTHAN,0,0,100,0
1296,AL,BILTMORE PLACE,DOTHAN,0,-4,95.8,-4
29438,AL,BLACKWOOD ESTATES,LOXLEY,0,0,-4,-4
6339,AL,BLOUNTSVILLE MANOR,BLOUNTSVILLE,0,-4,-4,0
11004,AL,BLOUNTSVILLE PARK APARTMENTS,BLOUNTSVILLE,0,0,-4,-4
13770,AL,BONAIRE VILLAS,PINE HILL,0,0,-4,-4
6338,AL,BRADBERRY POINTE,ALEXANDER CITY,0,0,100,0
38668,AL,BRADLEY PARK APARTMENTS,ATTALLA,0,-4,67.5,-4
9572,AL,BRANTWOOD LANE APARTMENTS,CENTREVILLE,0,0,-4,-4
22199,AL,BRENTWOOD LANDING APARTMENTS,PRATTVILLE,0,-4,93.7,-4
4565,AL,BRENTWOOD LANDING II APARTMENTS,PRATTVILLE,0,-4,89.6,-4
20475,AL,BRENTWOOD PARK,TALLADEGA,0,-4,72,-4
21827,AL,BREWINGTON POINTE APARTMENTS FKA BREWINGTON PLACE,BREWTON,0,0,-4,-4
1870,AL,BRIARWOOD ESTATES,ROBERTSDALE,0,0,-4,-4
17460,AL,BRISTOL DOWNS APARTMENTS FKA FIELDCREST,MONTGOMERY,0,-4,88.5,-4
1864,AL,BROOK HAVEN APARTMENTS,HUNTSVILLE,0,0,-4,-4
20517,AL,BROOKEVILLE APARTMENTS,GADSDEN,0,-4,-4,0
29446,AL,BROOKSHIRE MANOR APARTMENTS,THOMASVILLE,0,-4,-4,0
29440,AL,BROOKSIDE APARTMENTS,WADLEY,0,0,-4,-4
33249,AL,BROOKSTONE VILLAGE APARTMENTS,JACKSONVILLE,0,0,-4,-4
18708,AL,BROOKVIEW APARTMENTS,MONTGOMERY,0,-4,76.9,-4
33246,AL,BROOKWOOD APARTMENTS,FOLEY,0,0,-4,-4
32,AL,BUTLER COVE,BUTLER,0,0,100,0
18752,AL,CADENCE POINT (FKA THE BOULEVARD),ENTERPRISE,0,-4,89.3,-4
6288,AL,CAHABA GLADES APARTMENTS FKA CAHABA TRACE APTS,CENTREVILLE,0,-4,83.3,-4
31987,AL,CAMBRIDGE APARTMENTS,CENTRE,0,-4,95,-4
