ID,STATE,PROPERTYNAME,CITY,HH_RACE_WHITE_PCT,HH_RACE_BLACK_PCT,HH_RACE_AMINDALNAT_PCT,HH_RACE_ASIAN_PCT,HH_RACE_HAWAIIANPI_PCT,HH_RACE_OTHER_PCT,HH_RACE_HISPANIC_PCT,HH_RACE_NR_PCT
193,GA,WOODSIDE VILLAGE APARTMENTS,CLARKSTON,-4,54.1,-4,-4,0,-4,0,41
194,GA,RENAISSANCE AT PARK PLACE SOUTH,ATLANTA,0,95.8,0,0,0,0,-4,-4
195,GA,SHEPPARD STATION,POOLER,-4,51.9,0,0,0,0,0,-4
196,GA,BROOKFIELD MEWS,TIFTON,-4,90.8,0,0,0,-4,0,-4
197,GA,THE VILLAGE AT WINDING RD II,ST MARY'S,55.7,-4,0,0,0,-4,0,0
198,GA,ORCHARD GROVE APARTMENTS,MADISON,-4,87.9,0,0,0,0,0,-4
199,GA,SUMMERVILLE GARDENS,SUMMERVILLE,77.3,14.7,0,0,0,-4,-4,-4
200,GA,VINEYARDS OF BROWNS MILLS,ATLANTA,0,-4,0,0,0,0,0,-4
201,GA,COLUMBIA HERITAGE SENIOR RESIDENCES,ATLANTA,-4,79.8,0,0,0,-4,0,17
202,GA,TANGLEWOOD APARTMENTS,BLAKELY,-4,91.8,0,0,0,-4,0,0
203,CA,SIERRA RIDGE,CLOVIS,54.3,0,0,0,0,0,-4,-4
204,CA,POINT REYES AFFORDABLE HOMES,POINT REYES STATION,57.7,-4,0,0,0,0,-4,0
205,CO,VILLAGE ON SHIELDS,FORT COLLINS,51.2,-4,-4,-4,0,4.3,13,28
206,CO,OTERO VILLAS LA JUNTA,LA JUNTA,-4,0,-4,0,0,0,-4,0
207,CO,KIMBARK APARTMENTS,LONGMONT,-4,0,0,0,0,-4,-4,88.6
208,CO,MAPLEWOOD APARTMENTS,LAKEWOOD,45.3,-4,0,0,0,-4,14.1,34.4
209,CO,WYNDAM PLACE SENIOR RESIDENCES,COLORADO SPRINGS,63.6,16.7,0,-4,0,-4,-4,-4
210,CO,DIAMOND AT PROSPECT,DENVER,-4,-4,0,0,0,-4,29.3,50
211,CO,ARDENNE APARTMENTS,LAFAYETTE,33.3,-4,0,0,0,-4,-4,38.5
212,CO,RIO GRANDE,DENVER,-4,-4,0,0,0,0,-4,-4
213,CO,EASTGLEN TOWNHOMES,LONGMONT,-4,0,0,0,0,0,-4,75
214,CO,OAKRIDGE CROSSING,FORT COLLINS,41.1,0,-4,0,0,-4,-4,51.4
215,CO,WILLOW STREET RESIDENCE II RESYNDICATION,DENVER,20.3,43,0,0,0,15.2,-4,-4
216,CO,COURTYARD COMMONS,DENVER,40.7,-4,0,0,0,-4,-4,-4
217,CO,HIGH MAR,BOULDER,76.8,-4,-4,-4,-4,-4,-4,-4
218,CO,RESIDENCES AT CAPITOL HEIGHTS,DENVER,47.6,-4,0,-4,0,-4,-4,41.3
219,CO,PUEBLO VILLAGE APARTMENTS,PUEBLO,-4,0,0,0,0,0,70.6,-4
220,CO,VILLAGE AT WESTERLY CREEK BUILDING 3,AURORA,15.1,69.9,0,-4,0,-4,-4,-4
221,CO,BROOKSTONE I,LOVELAND,80.9,-4,0,0,0,-4,-4,0
222,CO,RENAISSANCE STOUT STREET LOFTS,DENVER,34.7,22.2,-4,0,0,-4,-4,23.6
223,CO,SPANISH PEAKS APARTMENTS WALSENBURG,WALSENBURG,-4,0,0,0,-4,0,50,-4
224,CT,COUNTRY VILLAGE APARTMENTS,WATERBURY,-4,15.9,0,0,0,-4,77.6,-4
225,CT,LOOM  CITY LOFTS,VERNON,50.8,27.1,0,0,0,-4,-4,-4
226,CT,992 SUMMER STREET DEVELOPMENT LLC,STAMFORD,-4,39.6,0,0,0,0,27.1,-4
228,DC,WARDMAN COURT APARTMENTS - 4991,WASHINGTON,-4,76.4,-4,0,0,-4,-4,11.5
229,DC,JASPER PLACE,WASHINGTON,0,98,-4,0,0,0,0,-4
230,DC,ROCKBURNE ESTATES,WASHINGTON,0,0,0,0,0,0,0,100
231,DC,PARK VISTA APARTMENTS,WASHINGTON,0,-4,0,0,0,-4,0,0
232,DC,THE GROVE AT PARKSIDE,WASHINGTON,0,0,0,0,0,0,0,-4
233,DC,HUNTINGTON VILLAGE,WASHINGTON,0,100,0,0,0,0,0,0
234,DC,PENTACLE APARTMENTS,WASHINGTON,0,0,0,0,0,0,0,-4
235,DC,TYLER HOUSE ASSOCIATES 1995 LLC,WASHINGTON,-4,97.6,0,0,-4,0,0,0
236,DC,WHEELER TERRACE,WASHINGTON,0,0,0,0,0,0,0,-4
237,DE,"THE FLATS, PHASE I",WILMINGTON,19.4,59.7,-4,0,-4,0,18.1,0
238,DE,HURDS CROSSING,FELTON,69.4,-4,0,-4,0,0,-4,0
239,DE,GOLDEN MEADOWS,DELMAR,-4,-4,0,0,0,0,0,0
240,DE,CLAYMONT STREET APARTMENTS (2013),WILMINGTON,0,-4,0,0,0,0,-4,0
241,FL,CORAL PLACE,MIAMI,0,0,0,0,0,0,0,100
242,FL,VILLAGES AT NOAH'S LANDING,LAKELAND,0,0,0,0,0,0,0,100
243,FL,SUNSET,VERO BEACH,0,0,0,0,0,0,0,100
244,FL,FAIRVIEW COVE II,TAMPA,0,0,0,0,0,0,0,100
245,FL,SULZBACHER VILLAGE,JACKSONVILLE,0,0,0,0,0,0,0,100
246,FL,HIDDEN CREEK VILLAS,ORLANDO,0,0,0,0,0,0,0,100
247,FL,MIRA VERDE,LABELLE,0,0,0,0,0,0,0,100
248,FL,CORINTHIAN,MIAMI,0,0,0,0,0,0,0,100
249,FL,CHATHAM POINTE SENIOR,WAUCHULA,0,0,0,0,0,0,0,100
250,FL,VIZCAYA VILLAS,MIAMI,0,0,0,0,0,0,0,100
251,FL,SILAS OAKS,LIVE OAK,0,0,0,0,0,0,0,100
252,FL,HALEY PARK,TAMPA,0,0,0,0,0,0,0,100
253,FL,CASSIE GARDENS,MIDDLEBURG,0,0,0,0,0,0,0,100
254,FL,SOUTHPOINT CROSSING,FLORIDA CITY,0,0,0,0,0,0,0,100
255,FL,GREENVILLE POINTE,GREENVILLE,0,0,0,0,0,0,0,100
256,IL,STEELEVILLE APARTMENTS,STEELEVILLE,-4,-4,0,0,0,0,0,0
257,IL,VIRDEN APARTMENTS,VIRDEN,-4,-4,0,0,0,0,0,-4
258,IL,EAGLE RIDGE OF DECATUR,DECATUR,-4,-4,0,0,0,0,0,0
259,IL,STOREY MANOR,ALTON,58,-4,0,0,0,0,0,-4
260,IL,MAINSTAY CENTER,GRANITE CITY,-4,-4,0,0,0,0,0,0
261,IL,WILMINGTON SENIOR APARTMENTS,WILMINGTON,81.1,-4,0,0,0,0,0,-4
262,IL,WHISPERING WIND,ROCK FALLS,-4,0,0,0,0,0,0,-4
264,IN,BEACON POINTE APARTMENTS,GREENWOOD,46.2,33.8,0,0,0,0,0,20
265,IN,SILVER BIRCH OF FORT WAYNE,FT WAYNE,54.6,23.5,0,-4,0,0,0,-4
266,IN,DBG PROPERTIES LLC,WALKERTON,93.2,-4,-4,0,0,0,0,-4
267,IN,PRESCOTT GREENE,BUNKER HILL,-4,0,0,0,0,0,0,-4
268,IN,DAVIS ZELLER PLACE,BRAZIL,91.7,0,0,0,0,0,-4,-4
269,IN,LAFAYETTE LANDING AT KESSLER,INDIANAPOLIS,-4,88.9,0,0,0,0,0,-4
270,IN,RIVERSIDE VILLA APARTMENTS,LIGONIER,63,-4,0,-4,0,-4,-4,-4
